City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
0,deputatskiy,69.3,139.9,-39.21,99,89,3.4,RU
1,bengkulu,-3.8004,102.2655,75.16,93,100,9.82,ID
2,mataura,-46.1927,168.8643,44.89,97,4,1.68,NZ
3,bubaque,11.2833,-15.8333,73.38,78,8,7.9,GW
4,shelburne,44.0787,-80.2041,29.23,96,92,15.86,CA
5,kalianget,-7.05,113.9333,80.02,82,91,0.36,ID
6,dikson,73.5069,80.5464,-4.9,94,100,34.76,RU
7,saint-paul,-21.0096,55.2707,78.91,94,100,2.42,RE
8,hasaki,35.7333,140.8333,33.22,97,71,31.59,JP
9,itarema,-2.9248,-39.9167,81.95,69,44,5.12,BR
10,yulara,-25.2406,130.9889,89.8,17,98,4.03,AU
11,sao joao da barra,-21.6403,-41.0511,76.23,91,100,8.21,BR
12,khatanga,71.9667,102.5,-39.48,96,80,6.06,RU
13,butaritari,3.0707,172.7902,80.98,79,99,18.41,KI
14,airai,-8.9266,125.4092,61.75,94,100,0.38,TL
15,salta,-24.7859,-65.4117,70.84,75,50,2.1,AR
16,cidreira,-30.1811,-50.2056,78.35,70,2,2.28,BR
17,poum,-20.2333,164.0167,81.37,79,56,6.15,NC
18,tiksi,71.6872,128.8694,-25.26,99,100,4.16,RU
19,kununurra,-15.7667,128.7333,82.38,74,100,17.27,AU
20,katherine,-14.4667,132.2667,77.32,94,40,4.61,AU
21,albany,42.6001,-73.9662,32.88,81,93,8.79,US
22,tuktoyaktuk,69.4541,-133.0374,-8.57,98,100,9.37,CA
23,pitimbu,-7.4706,-34.8086,81.91,68,19,10.31,BR
24,patea,-39.7583,174.4833,57.61,92,42,3.42,NZ
25,mar del plata,-38.0023,-57.5575,73.83,73,19,11.99,AR
26,busselton,-33.65,115.3333,65.97,76,0,21.0,AU
27,ponta do sol,32.6667,-17.1,65.01,55,10,6.13,PT
28,vanavara,60.34,102.2797,-33.95,100,72,1.81,RU
29,erenhot,43.6475,111.9767,-1.12,65,31,10.49,CN
30,tonantins,-2.8731,-67.8022,72.73,97,100,0.47,BR
31,aklavik,68.2191,-135.0107,-8.68,96,100,10.0,CA
32,rikitea,-23.1203,-134.9692,78.44,76,11,18.99,PF
33,kodiak,57.79,-152.4072,36.91,75,0,0.0,US
34,kingsburg,36.5138,-119.554,38.01,100,0,5.75,US
35,chifeng,42.2683,118.9636,-3.35,64,2,5.41,CN
36,turayf,31.6725,38.6637,57.24,46,0,5.82,SA
37,chokurdakh,70.6333,147.9167,-21.98,91,100,1.59,RU
38,caravelas,-17.7125,-39.2481,83.82,66,100,10.47,BR
39,malanje,-9.5402,16.341,72.21,82,97,4.81,AO
40,bluff,-46.6,168.3333,52.36,76,3,8.46,NZ
41,kurilsk,45.2333,147.8833,25.21,72,100,11.74,RU
42,torbay,47.6666,-52.7314,45.28,97,100,33.38,CA
43,saskylakh,71.9167,114.0833,-10.28,99,100,3.42,RU
44,qaanaaq,77.484,-69.3632,-12.8,67,28,6.67,GL
45,hobart,-42.8794,147.3294,65.05,85,75,3.44,AU
46,port alfred,-33.5906,26.891,72.18,77,69,10.0,ZA
47,upata,8.0086,-62.3989,69.19,82,79,6.78,VE
48,husavik,66.0449,-17.3389,37.49,92,85,7.74,IS
49,bredasdorp,-34.5322,20.0403,64.54,57,69,18.48,ZA
50,saint-philippe,-21.3585,55.7679,78.39,87,100,9.75,RE
51,chara,56.9064,118.2631,-25.1,85,95,0.81,RU
52,carrollton,32.9537,-96.8903,46.22,81,100,8.05,US
53,misratah,32.3754,15.0925,64.33,59,2,14.99,LY
54,vaini,-21.2,-175.2,81.32,80,33,14.67,TO
55,puerto ayora,-0.7393,-90.3518,72.55,97,81,4.05,EC
56,acapulco,16.8634,-99.8901,71.42,78,0,6.91,MX
57,thompson,55.7435,-97.8558,-33.43,100,13,2.89,CA
58,tasiilaq,65.6145,-37.6368,17.76,61,96,5.93,GL
59,almaznyy,48.0448,40.045,34.95,52,7,13.42,RU
60,luba,3.4568,8.5547,82.47,77,52,6.53,GQ
61,nikolskoye,59.7035,30.7861,30.09,87,100,10.83,RU
62,jishou,28.3167,109.7167,37.26,36,1,6.55,CN
63,norman wells,65.282,-126.8329,-9.13,99,100,0.4,CA
64,mastic beach,40.7668,-72.8521,37.78,72,11,4.0,US
65,antofagasta,-23.65,-70.4,67.28,76,50,6.26,CL
66,kazachinskoye,57.6953,93.2761,10.13,96,100,3.29,RU
67,troitsko-pechorsk,62.7084,56.1964,12.4,93,100,8.21,RU
68,ushuaia,-54.8,-68.3,51.42,67,7,9.33,AR
69,athabasca,54.7169,-113.2854,15.78,96,86,4.56,CA
70,castro,-24.7911,-50.0119,71.35,73,15,1.77,BR
